                    alpha                       ri        Curve Length / nm                    Value

                      200                        1                        0         0.26912402963486
                      200                        1                      0.5         0.26932110911911
                      200                        1                        1         0.26952010422665
                      200                        3                        0         0.25825550396364
                      200                        3                      0.5         0.25854636864382
                      200                        3                        1         0.25884073225539
                      200                        5                        0         0.25951171717157
                      200                        5                      0.5         0.25949822695689
                      200                        5                        1         0.25948534140477
                      200                        7                        0         0.27200785660189
                      200                        7                      0.5         0.27215897297312
                      200                        7                        1         0.27231254321008
                      200                        9                        0         0.27903403531434
                      200                        9                        1         0.27965528779237
                      200                       11                        0         0.28414807131934
                      200                       11                        1         0.28382619543534
                      200                       13                        0         0.28181891527489
                      200                       13                        1         0.28203270462597
                      200                       15                        0         0.29646816963963
                      200                       15                        1         0.29612765523086
                      200                       17                        0         0.29699209925323
                      200                       17                        1         0.29711420106589
                      200                       19                        0         0.30499715926378
                      200                       19                        1          0.3053880197308
                      200                       21                        0         0.30888841046388
                      200                       21                        1         0.30942268519939
                      200                       23                        0         0.33871842237527
                      200                       23                        1         0.33912023978817
                      200                       25                        0         0.34650397464993
                      200                       25                        1         0.34635243009056
                      200                       27                        0         0.38290457580801
                      200                       27                        1         0.38315010772665
                      200                       29                        0         0.47960522531111
                      200                       29                        1         0.47999527680987
                      200                       31                        0         0.82073337001669
                      200                       31                        1         0.82021936085286
                      200                       33                        0        0.030348525683335
                      200                       33                        1         0.03041426012522
                      200                       35                        0          0.1454563945825
                      200                       35                        1         0.14567734185755
                      200                       37                        0         0.21068078104217
                      200                       37                        1         0.21068189632319
                      200                       39                        0         0.23845545590932
                      200                       39                        1         0.23839002509105
                      200                       41                        0         0.25312758740905
                      200                       41                        1         0.25370022205906
                      200                       43                        0         0.25650270845649
                      200                       43                        1         0.25605752918352
                      200                       45                        0         0.25781993004709
                      200                       45                        1         0.25787297162978
                      200                       47                        0         0.27132510320766
                      200                       47                        1         0.27043805941213
                      200                       49                        0           0.276037815946
                      200                       49                        1         0.27640676427146
                      200                       51                        0         0.26358834995725
                      200                       51                        1         0.26433335683231
                      200                       53                        0         0.26483425365345
                      200                       53                        1         0.26505457821658
                      200                       55                        0         0.25861987203519
                      200                       55                        1         0.25918839179205
                      200                       57                        0          0.2666609119339
                      200                       57                        1         0.26668248288357
                      200                       59                        0         0.25382987205976
                      200                       59                        1         0.25344738221225
                      200                       61                        0          0.2406596346583
                      200                       61                        1         0.24034620297581
                      200                       63                        0         0.22989036891961
                      200                       63                        1         0.22988096291691
                      200                       65                        0          0.2029083223992
                      200                       65                        1         0.20293785152506
                      200                       67                        0         0.18370142374067
                      200                       67                        1         0.18418503891043
                      200                       69                        0         0.16216902297025
                      200                       69                        1         0.16212764999968
                      200                       71                        0         0.14073949456792
                      200                       71                        1         0.14076392007076
                      200                       73                        0         0.10105506337621
                      200                       73                        1         0.10143747221736
                      200                       75                        0        0.052794286546462
                      200                       75                        1        0.052792275813339
                      200                       77                        0       0.0078647432685596
                      200                       77                        1       0.0078929545141647
                      200                       79                        0        0.084138823361322
                      200                       79                        1        0.084234215829643
                      200                       81                        0         0.18178498731019
                      200                       81                        1         0.18202900708484
                      200                       83                        0         0.28214072758153
                      200                       83                        1         0.28213658006236
                      200                       85                        0         0.42581699438184
                      200                       85                        1         0.42607468427135
                      200                       87                        0         0.54311154486261
                      200                       87                        1          0.5430181672192
                      200                       89                        0         0.65041365521322
                      200                       89                        1         0.65067673517231
                      200                       91                        0         0.72690750878493
                      200                       91                        1         0.72693865395996
                      200                       93                        0         0.77422762177497
                      200                       93                        1         0.77367982386822
                      200                       95                        0         0.81115081404284
                      200                       95                        1          0.8113284736084
                      200                       97                        0         0.82202991802621
                      200                       97                        1         0.82243614493198
                      200                       99                        0         0.83038607992012
                      200                       99                        1         0.83051147303753
                      200                      101                        0          0.8204827448448
                      200                      101                        1         0.82080277382738
                      200                      103                        0         0.82846103249858
                      200                      103                        1         0.82786485805096
                      200                      105                        0         0.82492808804272
                      200                      105                        1         0.82490116163637
                      200                      107                        0         0.82328919090426
                      200                      107                        1         0.82322762570039
                      200                      109                        0         0.81829633048473
                      200                      109                        1         0.81882955829355
                      200                      111                        0         0.81969186673693
                      200                      111                        1         0.81950662393185
                      200                      113                        0         0.82381668932106
                      200                      113                        1         0.82391553826829
                      200                      115                        0         0.82192933172306
                      200                      115                        1         0.82181811092987
                      200                      117                        0         0.83613688584958
                      200                      117                        1         0.83577362054626
                      200                      119                        0         0.82713704655882
                      200                      119                        1         0.82759493833407
                      200                      121                        0          0.8353777343698
                      200                      121                        1         0.83516957431733
                      200                      123                        0         0.83041832944299
                      200                      123                        1         0.83070545676771
                      200                      125                        0         0.83605861233097
                      200                      125                        1         0.83583745588661
                      200                      127                        0           0.839148351985
