                    alpha                       ri        Curve Length / nm                    Value
                      202                       33                        0          153.67701978376
                      202                       33                        1          153.15170134896
                      202                       35                        0         -11.077065254634
                      202                       35                        1          -11.58663773229
                      202                       37                        0         -5.9886153352005
                      202                       37                        1         -6.5269860875526
                      202                       39                        0         -1.1739844383524
                      202                       39                        1         -1.7012008533343
                      202                       41                        0        -0.41302922911193
                      202                       41                        1        -0.92181854448185
                      202                       43                        0          1.3803196751369
                      202                       43                        1         0.84622677069464
                      202                       45                        0          4.6002190438227
                      202                       45                        1           4.076892693885
                      202                       47                        0          5.0229723205536
                      202                       47                        1          4.4852744554234
                      202                       49                        0          6.3478257547244
                      202                       49                        1          5.8497396961374
                      202                       51                        0          8.2999728333609
                      202                       51                        1          7.7838474227975
                      202                       53                        0          10.400309347669
                      202                       53                        1          9.8651787721012
                      202                       55                        0          12.089844344026
                      202                       55                        1          11.548859829376
                      202                       57                        0          12.579734999657
                      202                       57                        1           12.05715102582
                      202                       59                        0          15.996205295897
                      202                       59                        1          15.485397841345
                      202                       61                        0          19.089390988131
                      202                       61                        1          18.555861418898
                      202                       63                        0          20.503998936901
                      202                       63                        1          19.990776361086
                      202                       65                        0          23.912942112427
                      202                       65                        1          23.379635159661
                      202                       67                        0          26.893158013886
                      202                       67                        1          26.376574085638
                      202                       69                        0          30.031880477276
                      202                       69                        1          29.523902821488
                      202                       71                        0          34.227210368148
                      202                       71                        1          33.716437997507
                      202                       73                        0          39.766785392407
                      202                       73                        1          39.237961784991
                      202                       75                        0          44.016975499927
                      202                       75                        1          43.502920158438
                      202                       77                        0         -130.13303167555
                      202                       77                        1         -130.65964876558
                      202                       79                        0           -122.303801478
                      202                       79                        1         -122.80847645176
                      202                       81                        0         -114.73502485887
                      202                       81                        1         -115.26976155988
                      202                       83                        0         -101.74785919829
                      202                       83                        1          -102.2655076815
                      202                       85                        0         -90.253553841162
                      202                       85                        1         -90.769423446148
                      202                       87                        0         -75.955176317214
                      202                       87                        1         -76.458507230369
                      202                       89                        0         -62.578959732146
                      202                       89                        1         -63.099285047825
                      202                       91                        0         -48.972714626613
                      202                       91                        1         -49.506109857439
                      202                       93                        0         -36.248900343909
                      202                       93                        1         -36.771579159087
                      202                       95                        0          -25.11894960919
                      202                       95                        1         -25.634104749641
                      202                       97                        0         -16.565760494317
                      202                       97                        1         -17.097141705317
                      202                       99                        0         -8.0838820517049
                      202                       99                        1         -8.5954410094439
                      202                      101                        0         -1.7066609235375
                      202                      101                        1         -2.2167334975241
                      202                      103                        0          4.4253288957476
                      202                      103                        1          3.9192921118166
                      202                      105                        0          9.8260444102884
                      202                      105                        1          9.3130887758423
                      202                      107                        0          14.997953479433
                      202                      107                        1          14.490919488135
                      202                      109                        0          19.502927363379
                      202                      109                        1          18.986481132143
                      202                      111                        0          23.879236642555
                      202                      111                        1          23.368211753032
                      202                      113                        0           27.97651635794
                      202                      113                        1          27.466679456732
                      202                      115                        0          31.690928861443
                      202                      115                        1          31.182238131768
                      202                      117                        0           35.66580793011
                      202                      117                        1          35.154017216228
                      202                      119                        0          39.244685212574
                      202                      119                        1           38.73088364246
                      202                      121                        0          42.870779182546
                      202                      121                        1          42.353613237463
                      202                      123                        0          46.289717023786
                      202                      123                        1          45.771336227407
                      202                      125                        0          49.663496964778
                      202                      125                        1          49.147837929916
                      202                      127                        0          52.847989325292
                      202                      127                        1          52.331671599192
                      202                      129                        0          55.853522978722
                      202                      129                        1          55.335783113581
                      202                      131                        0          58.644615158579
                      202                      131                        1          58.125682761613
                      202                      133                        0          61.520418682903
                      202                      133                        1          60.989081317239
                      202                      135                        0          64.189981543082
                      202                      135                      0.5           63.93029578671
                      202                      135                        1          63.670571113787
                      204                        1                        0         -6.3453280464161
                      204                        1                      0.5         -6.6090764934379
                      204                        1                        1         -6.8728604794607
                      204                        3                        0         -6.9108008403522
                      204                        3                      0.5         -7.1786827261357
                      204                        3                        1         -7.4466465969883
                      204                        5                        0         -5.9274284470784
                      204                        5                      0.5         -6.1943107191693
                      204                        5                        1         -6.4614472158975
                      204                        7                        0         -6.0753520846257
                      204                        7                        1         -6.5895568693655
                      204                        9                        0          -6.575513968213
                      204                        9                        1         -7.1131065491827
                      204                       11                        0         -5.0181223447708
                      204                       11                        1         -5.5352777307982
                      204                       13                        0         -4.6774588580123
                      204                       13                        1         -5.1998755120827
                      204                       15                        0         -4.3025899175924
                      204                       15                        1         -4.8032092760429
                      204                       17                        0         -3.4197112636897
                      204                       17                        1         -3.9379506010087
                      204                       19                        0         -1.6925357901041
                      204                       19                        1         -2.2169012808046
                      204                       21                        0        -0.97496804665435
                      204                       21                        1         -1.5142214665495
                      204                       23                        0        0.028997159662063
                      204                       23                        1        -0.47591798130374
                      204                       25                        0          2.5370310662636
                      204                       25                        1           2.023367325995
                      204                       27                        0          6.0632851369109
                      204                       27                        1          5.5365539846171
                      204                       29                        0          11.912963861722
                      204                       29                        1          11.385210744739
                      204                       31                        0          38.217877038646
                      204                       31                        1          37.711556163459
                      204                       33                        0          144.00737271162
                      204                       33                        1          143.51641198499
                      204                       35                        0         -15.074861256982
                      204                       35                        1         -15.583650774701
                      204                       37                        0         -8.6256051972694
                      204                       37                        1         -9.1507214225111
                      204                       39                        0         -4.5772398652831
                      204                       39                        1         -5.0907892711212
                      204                       41                        0         -1.3427149416487
                      204                       41                        1         -1.8547174819026
                      204                       43                        0        -0.48191540824485
                      204                       43                        1         -1.0033490079133
                      204                       45                        0          1.3169189329347
                      204                       45                        1         0.84077491759554
                      204                       47                        0          3.5858252639718
                      204                       47                        1          3.0664936141715
                      204                       49                        0          6.2108212334185
                      204                       49                        1          5.6958855195614
                      204                       51                        0          8.1419447969728
                      204                       51                        1          7.6270876127561
                      204                       53                        0          7.6627749058927
                      204                       53                        1           7.140232514018
                      204                       55                        0          10.619082333218
                      204                       55                        1          10.087067048379
                      204                       57                        0          13.137390651345
                      204                       57                        1          12.589755470719
                      204                       59                        0          14.061235280529
                      204                       59                        1          13.530047818437
                      204                       61                        0          17.138956242731
                      204                       61                        1          16.612883324998
                      204                       63                        0          20.200267773966
                      204                       63                        1           19.70167362399
                      204                       65                        0          22.480431841076
                      204                       65                        1          21.942468161529
                      204                       67                        0          26.126366602304
                      204                       67                        1          25.595885448725
                      204                       69                        0          29.993323193875
                      204                       69                        1            29.4654185136
                      204                       71                        0          32.611704378203
                      204                       71                        1           32.07209308409
                      204                       73                        0          39.293786978714
                      204                       73                        1          38.758303088288
                      204                       75                        0          43.898652692228
                      204                       75                        1          43.398450177164
                      204                       77                        0         -130.03974747459
                      204                       77                        1         -130.51965131496
                      204                       79                        0         -122.67661075488
                      204                       79                        1         -123.20163271308
                      204                       81                        0         -114.19966709881
                      204                       81                        1         -114.69598825339
                      204                       83                        0         -103.55808452194
                      204                       83                        1         -104.08085214826
                      204                       85                        0         -90.130564628798
                      204                       85                        1         -90.687782163128
